"21,8","16,8","28,2","0,0",1,"30,0","475,9",31294
"20,4","19,2","23,1","13,3",0,"32,4","415,5",21229
"18,2","12,8","24,1","0,0",0,"29,3","330,1",22562
"20,6","18,1","25,6","3,5",0,"32,2","425,2",21348
"16,4","15,2","18,8","0,1",1,"29,9","269,8",21755
"22,9","17,8","28,7","0,0",1,"31,3","524,1",33146
"21,0","18,9","22,0","6,2",0,"30,8","439,0",20058
"17,8","16,3","20,4","9,7",0,"30,4","316,0",21389
"22,3","17,2","26,4","0,0",0,"32,7","495,8",24123
"24,3","19,8","28,4","0,0",0,"32,6","588,8",21997
"23,6","20,3","29,7","0,0",0,"32,2","555,0",30125
"21,3","17,6","27,4","0,0",0,"31,7","452,2",27159
"24,3","19,1","30,0","0,1",1,"31,5","590,7",31802
"24,2","17,1","32,1","0,0",0,"28,2","586,9",29232
"17,7","13,8","25,7","0,0",1,"29,5","313,9",29573
"17,0","13,1","21,6","0,0",0,"32,1","288,8",17580
"17,7","13,4","25,6","0,0",1,"28,5","312,6",24979
"21,9","19,6","26,1","0,0",0,"29,2","479,3",20855
"20,7","19,0","24,4","0,0",0,"28,6","430,0",24117
"20,8","18,2","26,2","24,9",0,"29,2","434,1",21300
"20,6","16,0","27,1","0,0",0,"29,4","426,0",25604
"25,0","20,8","34,1","0,8",0,"28,3","625,5",26450
"15,0","10,4","20,4","0,0",1,"29,5","226,0",23742
"22,9","17,6","30,2","0,0",0,"30,9","522,3",24475
"20,8","19,3","23,6","0,0",0,"31,7","433,3",19764
"22,1","18,8","27,0","0,0",0,"29,1","487,1",21539
"21,9","20,1","25,5","17,1",1,"29,4","481,0",30005
"20,8","14,1","29,5","0,0",0,"29,3","430,8",30160
"21,2","18,4","26,8","22,2",0,"28,7","448,1",24836
"21,5","18,2","28,8","22,0",0,"29,2","461,5",20485
"13,7","12,5","15,3","27,0",1,"28,5","188,2",21378
"14,2","12,5","15,8","0,0",0,"28,6","202,5",14056
"27,1","22,8","34,9","0,6",0,"30,6","735,8",34424
"25,6","17,9","33,3","0,0",0,"29,6","656,2",31937
"20,9","19,3","24,3","0,0",0,"31,4","434,9",21719
"20,8","17,2","23,1","26,7",0,"28,3","432,5",17376
"22,7","20,8","26,4","9,5",0,"31,3","513,4",22581
"20,5","17,8","25,7","0,0",0,"30,3","420,3",21674
"27,1","21,8","34,1","3,3",1,"31,3","732,7",35529
"18,4","15,5","22,4","56,8",0,"31,6","340,2",16637
"17,9","16,5","19,6","1,2",1,"29,8","321,6",23843
"17,2","15,3","18,0","17,4",0,"31,3","294,8",14641
"20,8","17,8","25,8","2,9",1,"29,0","434,1",26926
"21,6","18,7","27,8","0,1",0,"29,3","464,8",27030
"21,4","17,9","26,7","38,8",0,"30,0","457,3",20235
"19,9","13,7","26,9","2,9",1,"29,2","396,6",32632
"19,5","17,3","22,3","14,3",0,"33,0","380,3",22604
"23,4","20,2","30,2","0,0",1,"30,7","549,5",28987
"16,2","13,0","19,5","0,0",1,"32,2","260,8",23095
"22,0","20,3","26,0","4,4",0,"30,7","485,3",23615
"25,7","20,9","35,0","0,0",0,"31,4","661,3",26839
"20,8","17,0","28,6","0,0",1,"33,0","432,5",32013
"19,8","13,2","29,4","0,0",1,"32,9","392,7",26968
"23,4","19,7","28,4","31,6",0,"32,1","549,5",20714
"27,4","20,7","34,8","0,0",1,"30,5","753,0",31199
"19,7","16,1","25,3","0,0",0,"32,5","388,0",24038
"20,6","16,0","26,7","0,0",0,"32,3","424,3",24370
"20,6","14,9","26,9","0,0",0,"32,9","425,2",27170
"22,5","19,3","26,6","0,0",0,"32,6","505,4",23773
"19,5","15,9","25,3","0,0",0,"32,6","379,6",21313
"21,4","17,0","28,1","16,4",1,"31,9","458,9",28315
"21,5","19,0","26,1","37,4",1,"31,9","461,5",28508
"19,0","15,6","25,1","0,0",0,"29,5","361,5",19892
"21,3","18,8","25,6","30,4",0,"29,3","453,9",25279
"22,4","19,5","27,3","12,0",1,"31,2","502,8",28267
"18,5","14,5","23,5","0,6",0,"30,6","343,8",22890
"24,9","20,3","30,8","0,0",0,"31,9","619,6",25178
"18,9","12,5","26,1","0,0",0,"30,5","355,5",24231
"22,3","19,0","29,0","0,0",0,"30,5","498,4",28074
"22,7","19,1","28,9","0,0",0,"28,4","515,1",23663
"23,5","18,9","28,6","19,8",0,"31,4","553,2",23818
"22,4","19,7","25,9","0,0",1,"28,6","500,1",32059
"24,0","18,9","30,4","12,0",1,"32,0","578,4",28604
"20,1","14,6","24,6","0,0",0,"32,4","406,0",20208
"23,1","20,1","28,1","1,2",0,"30,4","534,9",29373
"23,2","19,0","31,2","10,2",0,"29,8","540,4",27405
"15,5","11,1","20,2","0,0",0,"30,4","239,1",18079
"17,0","14,5","22,0","0,0",0,"31,8","289,4",24185
"23,1","17,8","27,9","0,0",0,"31,5","535,8",26257
"24,0","19,4","28,4","0,0",0,"32,3","577,4",23372
"16,5","13,8","21,4","31,2",0,"32,7","273,7",21025
"25,0","22,1","31,5","0,0",0,"31,2","626,5",23735
"26,0","21,9","32,0","2,0",0,"32,4","674,4",29339
"21,6","17,2","26,9","0,0",0,"29,0","467,4",25554
"24,0","16,3","31,6","0,0",0,"31,3","578,4",27872
"23,1","18,8","32,6","0,0",1,"31,0","534,9",34001
"23,3","20,6","27,7","0,0",0,"28,2","544,9",28322
"25,3","21,1","32,1","2,9",0,"28,4","642,3",25210
"16,0","13,3","18,0","5,5",1,"31,6","254,5",25559
"22,1","18,9","28,4","0,0",0,"32,9","487,1",30486
"22,3","17,7","26,8","0,0",1,"31,5","497,5",32323
"21,6","18,7","26,3","0,3",1,"29,3","468,2",32215
"27,6","21,5","33,3","4,3",0,"32,6","763,7",24388
"16,6","14,8","20,1","0,0",0,"31,5","276,9",22746
"19,8","17,1","23,4","0,6",1,"30,7","393,4",28038
"16,1","12,7","22,1","0,2",0,"30,1","260,2",20055
"21,6","15,2","28,3","0,0",0,"31,9","468,2",26048
"22,1","14,0","31,4","0,0",1,"30,5","487,1",31196
"14,4","12,9","17,3","3,7",0,"32,6","206,4",16413
"25,4","20,9","33,3","1,6",0,"30,5","647,2",31189
"17,5","15,4","20,2","21,8",0,"31,4","306,3",16617
"24,0","20,0","30,2","0,0",1,"29,6","573,7",30209
"17,4","15,9","20,1","0,0",0,"30,3","303,6",20408
"19,7","13,8","26,1","0,0",0,"32,6","388,8",24102
"19,2","14,9","26,7","0,0",0,"29,0","368,9",23699
"17,6","15,9","20,8","0,0",1,"31,3","309,1",27104
"17,3","15,4","18,8","0,0",1,"30,1","298,8",26062
"14,5","11,9","17,7","8,8",0,"30,1","210,9",20608
"22,8","18,0","28,7","0,0",0,"32,7","521,4",23458
"20,5","18,1","24,8","14,4",1,"29,1","418,7",28058
"27,6","18,5","35,1","0,0",0,"28,4","759,4",35144
"15,8","13,5","19,4","2,5",0,"29,1","248,9",17530
"16,9","14,8","19,5","1,6",0,"30,3","284,1",19332
"19,4","17,2","24,4","0,0",0,"32,1","377,3",21401
"15,5","12,3","20,0","0,0",1,"30,1","240,4",22594
"24,1","20,9","31,4","0,0",0,"31,9","582,1",30516
"20,9","18,1","27,1","0,0",0,"31,2","438,2",21909
"22,3","16,8","28,9","10,2",1,"29,9","497,5",29327
"20,5","14,7","26,7","0,0",0,"31,8","421,9",21598
"19,6","14,3","25,4","0,0",1,"30,7","383,4",31824
"25,2","19,7","29,3","4,8",0,"32,3","633,3",22151
"27,7","20,1","34,6","0,0",0,"31,5","769,2",29738
"16,6","13,4","20,6","0,0",1,"30,8","275,6",23066
"12,6","10,8","14,2","4,3",1,"30,2","159,8",20868
"19,9","15,8","24,5","24,5",1,"30,3","395,0",24378
"23,5","21,8","27,1","0,0",0,"31,7","553,2",22474
"20,4","15,7","27,9","27,8",0,"29,5","417,9",27522
"19,8","17,8","23,3","0,0",1,"32,5","391,9",24330
"19,5","15,6","23,9","0,0",1,"32,2","381,9",26705
"16,4","13,9","20,6","0,0",0,"29,0","268,5",19894
